Amazing Weight Loss Program|Statics|Force Vector|Inclination|Shear|null|null|Tom Messervey|John Richards
Frame Demos|Statics|Force|Frame|Reaction|null|null|Jason Evers
Belt Friction|Statics|Friction|Pulling|Resisting|null|null|John Richards
Distributed Student Loading|Statics|Building Code|Distributed Load|Factor of Safety|Load Transfer|Loading|Jason Evers
Pulleys: The Equilibriator Challege!|Statics|Mechanical Advantage|Pulley|null|null|null|Tom Messervey|Matt Morris
The Torque Tester|Statics|Mechanical Advantage|Moment|Torque|null|null|Tom Messervey
Lug Wrench Vs. Breaker Bar|Statics|Free Vector|Moment|Varignon's Theorem|null|null|Jason Evers
Moments and Couples|Statics|Couple|Mechanical Advantage|Moment|null|null|Jason Evers
The Persuader|Statics|3-D|Equilibrium|Force|Magnitude|Moment|Jason Evers
Varignon's I-Beam|Statics|Force|Line of Action|Moment|null|null|Jason Evers
K-NEX Trusses|Statics|Stiffness|Strength|Truss|null|null|Ronald Welch
Ruler Truss|Statics|Truss|null|null|null|null|Ronald Welch
Wacky Fun Noodle|Statics|Axial|Compression|Tension|null|null|Ronald Welch
Wooden Truss 2D|Statics|Stability|Strength|Truss|null|null|Ronald Welch
Wooden Truss 3D|Statics|Stability|Strength|Truss|null|null|Ronald Welch
Uniformly Loaded Cables|Statics|Cable|Equilibrium|Point Load|Suspension Bridge|null|Tom Messervey
Zero Force Members|Statics|Force|Pin|Truss|Zero Force Member|null|Ronald Welch
Direction of the 2nd Law|Thermodynamics|Clausius Statement|Entropy|Order|null|null|Richard Melnyk
Losses and the 2nd Law|Thermodynamics|Conservation of Energy|Kelvin-Planck Statement|null|null|null|Richard Melnyk
The Hand Boiler|Thermodynamics|Boiling Point|Ideal Gas Law|Pressure|Temperature|Volume|Phil Root
Boiling Properties|Thermodynamics|Boiling|Pressure|Temperature|null|null|Michael Rounds|Michael Rounds
Closed VS Open Systems|Thermodynamics|Conservation of Energy|Conservation of Mass|null|null|null|Seth Norberg
Molasses Madness|Thermodynamics|Conservation of Mass|Incompressible Fluid|Velocity|null|null|Phil Root
The Lava Lamp-Density and Buoyancy|Thermodynamics|Archimedes Principle|Buoyancy|Density|null|null|Phil Root
Engine Knock|Thermodynamics|Compression|Otto Cycle|null|null|null|Justin Highley
Psychrometry|Thermodynamics|Adiabatic|ASHRAE|Wet Bulb|null|null|Richard Melnyk
Total Energy-Fan Box|Thermodynamics|Energy Transfer|Work|null|null|null|Richard Melnyk
Total Energy|Thermodynamics|Internal Energy|Kinetic Energy|Potential Energy|Total Energy|null|Phil Root
The Little Engine That Could - The Vapor Power Cycle|Thermodynamics|Rankine Cycle|Steam|Vapor Power Cycle|null|null|Phil Root
